id,scene_id,sequence,speaker,text,emotion,voice_file,is_trigger,trigger_id
1,prologue,1,narration,アミと付き合って3ヶ月。,,,false,
2,prologue,2,narration,毎日が幸せだ。,,,false,
3,prologue,3,narration,こんなに愛してくれる彼女、初めてだ。,,,false,
4,prologue,4,narration,毎朝のモーニングコール。,,,false,
5,prologue,5,narration,1日に50通以上のLINE。,,,false,
6,prologue,6,narration,デートの度に「好き」って100回は言ってくれる。,,,false,
7,prologue,7,narration,友達には「重くない？」って心配されるけど。,,,false,
8,prologue,8,narration,全然、そんなことない。,,,false,
9,prologue,9,narration,...たぶん。,,,false,
10,prologue,10,system,今日も素敵な一日になるはずだ。,,,true,trg_prologue_end
11,meeting,1,narration,17時05分 駅前,,,false,
12,meeting,2,narration,走って駅に着く。,,,false,
13,meeting,3,narration,時計を見る。5分遅れ。,,,false,
14,meeting,4,アミ,...来たんだ,irritated,ami_meeting_01.mp3,false,
15,meeting,5,hero,ごめん、電車が...,,,false,
16,meeting,6,アミ,5分,angry,ami_meeting_02.mp3,false,
17,meeting,7,hero,え？,,,false,
18,meeting,8,アミ,5分23秒、遅れた,angry,ami_meeting_03.mp3,false,
19,meeting,9,hero,...数えてたの？,,,false,
20,meeting,10,アミ,当たり前でしょ？大好きな人を待つ時間は1秒1秒が長いの,dark,ami_meeting_04.mp3,false,
21,meeting,11,アミ,でも来てくれたから...許してあげる♪,smile,ami_meeting_05.mp3,false,
22,meeting,12,narration,アミの表情が急に変わった。,,,false,
23,meeting,13,アミ,今日はどこに連れて行ってくれるの？,happy,ami_meeting_06.mp3,false,
24,meeting,14,hero,レストラン予約してあるよ,,,false,
25,meeting,15,system,アミが不機嫌になった！地雷を避けて機嫌を直そう！,,,true,trg_meeting_game
26,easy_clear,1,アミ,よかった♪ちゃんと私のこと見てくれてるんだね！,happy,ami_easy_clear_01.mp3,false,
27,easy_clear,2,アミ,やっぱりあなたは他の人とは違う,sweet,ami_easy_clear_02.mp3,false,
28,easy_clear,3,narration,アミの機嫌が直った。,,,false,
29,easy_clear,4,アミ,お腹すいちゃった。ご飯食べに行こ？,smile,ami_easy_clear_03.mp3,false,
30,easy_clear,5,system,ステージクリア！ご褒美シーンへ...,,,true,trg_easy_reward
31,easy_reward,1,アミ,ちょっと...トイレ行ってくる,sweet,ami_reward_01.mp3,false,
32,easy_reward,2,narration,アミが席を立った。,,,false,
33,easy_reward,3,narration,5分後...,,,false,
34,easy_reward,4,narration,アミが戻ってきた。なんだか顔が赤い。,,,false,
35,easy_reward,5,アミ,ごめん、待った？,sweet,ami_reward_02.mp3,false,
36,easy_reward,6,hero,大丈夫だよ,,,false,
37,easy_reward,7,system,次のステージへ進む...,,,true,trg_restaurant
38,dinner_scene,1,narration,高級レストラン,,,false,
39,dinner_scene,2,アミ,わぁ！素敵なお店！,happy,ami_dinner_01.mp3,false,
40,dinner_scene,3,アミ,このお店、前から来たかったの！,smile,ami_dinner_02.mp3,false,
41,dinner_scene,4,narration,料理が運ばれてくる。,,,false,
42,dinner_scene,5,アミ,美味しそう！写真撮ってもいい？,happy,ami_dinner_03.mp3,false,
43,dinner_scene,6,hero,もちろん,,,false,
44,dinner_scene,7,narration,楽しく食事をしていると...,,,false,
45,dinner_scene,8,アミ,...ねぇ,dark,ami_dinner_04.mp3,false,
46,dinner_scene,9,アミ,さっきから他の女の子ばっかり見てない？,dark,ami_dinner_05.mp3,false,
47,dinner_scene,10,hero,え？そんなことないよ,,,false,
48,dinner_scene,11,アミ,嘘。3回も見た。,angry,ami_dinner_06.mp3,false,
49,dinner_scene,12,アミ,向こうのテーブルの子でしょ？,angry,ami_dinner_07.mp3,false,
50,dinner_scene,13,アミ,私より可愛い？,yandere,ami_dinner_08.mp3,false,
51,dinner_scene,14,hero,アミが一番可愛いよ,,,false,
52,dinner_scene,15,アミ,本当に？証明して,yandere,ami_dinner_09.mp3,false,
53,dinner_scene,16,system,急にアミの様子が変わった！,,,true,trg_normal_game
54,normal_clear,1,アミ,ごめんね、私の勘違いだった...,relief,ami_normal_clear_01.mp3,false,
55,normal_clear,2,アミ,私...あなたのこと好きすぎて不安になっちゃうの,sweet,ami_normal_clear_02.mp3,false,
56,normal_clear,3,アミ,でも信じてる。あなたは私だけを見てくれるって,love,ami_normal_clear_03.mp3,false,
57,normal_clear,4,narration,レストランを出た。,,,false,
58,normal_clear,5,アミ,ねぇ...今日はもう帰らないよね？,sweet,ami_normal_clear_04.mp3,false,
59,normal_clear,6,hero,え？,,,false,
60,normal_clear,7,アミ,私の部屋...来る？,sweet,ami_normal_clear_05.mp3,false,
61,normal_clear,8,system,ステージクリア！次のシーンへ...,,,true,trg_home_scene
62,home_scene,1,narration,アミの部屋,,,false,
63,home_scene,2,アミ,私の部屋、初めてでしょ？緊張する？,sweet,ami_home_01.mp3,false,
64,home_scene,3,hero,ちょっとね,,,false,
65,home_scene,4,narration,部屋を見回す。壁一面に写真が...,,,false,
66,home_scene,5,hero,これ全部...,,,false,
67,home_scene,6,アミ,あなたの写真♪,happy,ami_home_02.mp3,false,
68,home_scene,7,アミ,毎日撮ってるの。知らなかった？,sweet,ami_home_03.mp3,false,
69,home_scene,8,narration,いつの間に撮られたのか...,,,false,
70,home_scene,9,アミ,ねぇ...座って,sweet,ami_home_04.mp3,false,
71,home_scene,10,narration,ベッドに座らされる。,,,false,
72,home_scene,11,アミ,あのね...話があるの,serious,ami_home_05.mp3,false,
73,home_scene,12,アミ,私ね、前に付き合ってた人が3人いたの,dark,ami_home_06.mp3,false,
74,home_scene,13,アミ,でもみんな...いなくなっちゃった,dark,ami_home_07.mp3,false,
75,home_scene,14,hero,いなくなった？,,,false,
76,home_scene,15,アミ,うん。みんな私を捨てて逃げたの,angry,ami_home_08.mp3,false,
77,home_scene,16,アミ,でもあなたは違うよね？,yandere,ami_home_09.mp3,false,
78,home_scene,17,アミ,ねえ...私だけを見てよ。他の誰も見ないで,yandere,ami_home_10.mp3,false,
79,home_scene,18,アミ,約束して。永遠に私のそばにいるって,yandere,ami_home_11.mp3,false,
80,home_scene,19,system,アミがヤンデレ化した！最後の試練だ！,,,true,trg_hard_game
81,hard_clear,1,アミ,本当？本当に私だけを愛してくれる？,love,ami_hard_clear_01.mp3,false,
82,hard_clear,2,hero,もちろん,,,false,
83,hard_clear,3,アミ,嬉しい...！,love,ami_hard_clear_02.mp3,false,
84,hard_clear,4,アミ,大好き...ずっと一緒にいようね♪,love,ami_hard_clear_03.mp3,false,
85,hard_clear,5,narration,アミが抱きついてきた。,,,false,
86,hard_clear,6,アミ,今夜は...帰さないから,sweet,ami_hard_clear_04.mp3,false,
87,hard_clear,7,narration,そして朝が来た...,,,false,
88,hard_clear,8,system,最終ステージクリア！TRUE ENDへ...,,,true,trg_true_end
89,true_end,1,narration,朝の光が窓から差し込む。,,,false,
90,true_end,2,アミ,おはよう♪昨日は楽しかったね,happy,ami_true_end_01.mp3,false,
91,true_end,3,アミ,ずっとあなたのこと見てた,sweet,ami_true_end_02.mp3,false,
92,true_end,4,アミ,寝顔も可愛かった♪,sweet,ami_true_end_03.mp3,false,
93,true_end,5,hero,ずっと起きてたの？,,,false,
94,true_end,6,アミ,うん。だって...もったいないじゃない,love,ami_true_end_04.mp3,false,
95,true_end,7,アミ,これからもずっと一緒だよ...ね？,sweet,ami_true_end_05.mp3,false,
96,true_end,8,narration,アミの瞳に自分が映っている。,,,false,
97,true_end,9,narration,その瞳の奥に...何かが見えた気がした。,,,false,
98,true_end,10,system,TRUE END - 無事に朝を迎えた,,,true,trg_ending
99,bad_end_1,1,アミ,...どうして？,crazy,ami_bad_01.mp3,false,
100,bad_end_1,2,アミ,どうして私の気持ちわからないの？,crazy,ami_bad_02.mp3,false,
101,bad_end_1,3,アミ,もういいよ。わからないなら、教えてあげる,dark,ami_bad_03.mp3,false,
102,bad_end_1,4,アミ,ずーっと、ずーっと、私のそばにいて,crazy,ami_bad_04.mp3,false,
103,bad_end_1,5,アミ,他の3人と同じように...,dark,ami_bad_05.mp3,false,
104,bad_end_1,6,アミ,大切にしまっておくね,crazy,ami_bad_06.mp3,false,
105,bad_end_1,7,narration,画面が暗転していく...,,,false,
106,bad_end_1,8,narration,地下室の物音、鎖の音が聞こえる...,,,false,
107,bad_end_1,9,アミ,これで永遠に一緒だね♪,crazy,ami_bad_07.mp3,false,
108,bad_end_1,10,narration,意識が完全に途絶えた...,,,false,
109,bad_end_1,11,system,BAD END - 4人目の犠牲者,,,true,trg_bad_end
110,bad_end_2,1,アミ,あなた...,dark,ami_bad2_01.mp3,false,
111,bad_end_2,2,アミ,私のこと調べたでしょ？,yandere,ami_bad2_02.mp3,false,
112,bad_end_2,3,アミ,1人目も2人目も...,dark,ami_bad2_03.mp3,false,
113,bad_end_2,4,アミ,3人目のことも知ってるんでしょ？,crazy,ami_bad2_04.mp3,false,
114,bad_end_2,5,アミ,でも、本当のことは誰も知らない,dark,ami_bad2_05.mp3,false,
115,bad_end_2,6,アミ,教えてあげる。全部、ぜーんぶ,crazy,ami_bad2_06.mp3,false,
116,bad_end_2,7,narration,アミが語り始めた真実は...,,,false,
117,bad_end_2,8,narration,人間の理性では受け止められないものだった,,,false,
118,bad_end_2,9,narration,あなたの精神は、真実の重さに耐えきれなかった,,,false,
119,bad_end_2,10,system,BAD END - 精神崩壊,,,true,trg_bad_end
120,bad_end_3,1,アミ,どうして逃げようとするの？,yandere,ami_bad3_01.mp3,false,
121,bad_end_3,2,アミ,私がそんなに怖い？,dark,ami_bad3_02.mp3,false,
122,bad_end_3,3,アミ,愛してるのに...こんなに愛してるのに！,crazy,ami_bad3_03.mp3,false,
123,bad_end_3,4,アミ,もう逃がさない。絶対に、絶対に逃がさない,dark,ami_bad3_04.mp3,false,
124,bad_end_3,5,アミ,私だけのものになって,crazy,ami_bad3_05.mp3,false,
125,bad_end_3,6,アミ,死ぬまで...ううん、死んでも離さない,crazy,ami_bad3_06.mp3,false,
126,bad_end_3,7,narration,部屋の扉に鍵がかかる音がした,,,false,
127,bad_end_3,8,narration,もう二度と、この部屋から出ることはできない,,,false,
128,bad_end_3,9,system,BAD END - 永遠の監禁,,,true,trg_bad_end
